campaign_id,channel,month,spend,attributed_revenue,impressions,clicks,conversions
MKT001,Instagram,2024-01,4200,11800,250000,6200,320
MKT002,Google Ads,2024-01,5100,14200,310000,8400,390
MKT003,Email,2024-01,900,5200,90000,2100,180
MKT004,Influencer,2024-01,2600,6800,140000,3100,160
MKT005,Referral,2024-01,600,4800,60000,1200,140
MKT006,Instagram,2024-02,4600,12500,270000,6900,340
MKT007,Google Ads,2024-02,5300,14900,320000,8600,400
MKT008,Email,2024-02,950,5400,95000,2200,185
MKT009,Influencer,2024-02,2800,7100,150000,3300,170
MKT010,Referral,2024-02,650,5000,65000,1250,150
